"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"125","All Transitions","13660_50",0.0075898,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",1569,535983,0.9,4068.0037734
"126","All Transitions","13660_51_63_64_65_66",0.007392,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",1625,1091156,1.7,8065.825152
"127","All Transitions","13940_39_40_41",0.2104982,"North-Central Interior Oak Savanna",1599,97467,0.2,20516.6280594
"128","All Transitions","13940_39_40_41",0.2104982,"North-Central Interior Oak Savanna",1652,453,0,95.3556846
"129","All Transitions","13940_50_51",0.209489,"North-Central Interior Oak Savanna",1570,240826,0.4,50450.397914
"130","All Transitions","13950_41_42_43_49_52",0.2381444,"North-Central Oak Barrens",1600,77789,0.1,18525.0147316
"131","All Transitions","13950_50",0.2479092,"North-Central Oak Barrens",1571,23594,0,5849.1696648
"132","All Transitions","14071_41_50_51",0.228269,"Laurentian Pine-Oak Barrens",1628,998246,1.6,227868.616174
"133","All Transitions","14071_41_50_51",0.228269,"Laurentian Pine-Oak Barrens",1601,53326,0.1,12172.672694
"134","All Transitions","14071_41_50_51",0.228269,"Laurentian Pine-Oak Barrens",1572,25156,0,5742.334964
"135","All Transitions","14072_41_50_51",0.1202254,"Laurentian Pine-Oak Barrens - Jack Pine",1602,2107486,3.4,253373.3473444
"136","All Transitions","14072_41_50_51",0.1202254,"Laurentian Pine-Oak Barrens - Jack Pine",1573,225231,0.4,27078.4870674
"137","All Transitions","14072_41_50_51",0.1202254,"Laurentian Pine-Oak Barrens - Jack Pine",1629,135983,0.2,16348.6105682
"138","All Transitions","14090_50_64",0.4337066,"Great Lakes Alvar",1574,14939,0,6479.1428974
"139","All Transitions","14110_49_51_52",0.058898,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,193,0,11.367314
"140","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",1575,18815,0,5784.491126
"141","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",1603,6437,0,1978.9938548
"142","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",1631,5463,0,1679.5469052
"143","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",1653,608,0,186.9237632
"144","All Transitions","14200_39_40_42",0.4591252,"Northern Tallgrass Prairie",1654,6634,0,3045.8365768
"145","All Transitions","14200_41",0.3117084,"Northern Tallgrass Prairie",1604,7821,0,2437.8713964
"146","All Transitions","14210_31_38_42_43_44_50_51",0.3125626,"Central Tallgrass Prairie",1576,9858,0,3081.2421108
"147","All Transitions","14440_41_50_51",0.1281268,"Eastern Boreal Floodplain",1605,705055,1.1,90336.440974
"148","All Transitions","14440_41_50_51",0.1281268,"Eastern Boreal Floodplain",1633,90068,0.1,11540.1246224
"149","All Transitions","14440_41_50_51",0.1281268,"Eastern Boreal Floodplain",1577,12545,0,1607.350706
"150","All Transitions","14660_50_51",0.0077348,"Great Lakes Wooded Dune and Swale",1578,32167,0.1,248.8053116
"151","All Transitions","14660_50_51",0.0077348,"Great Lakes Wooded Dune and Swale",1634,13046,0,100.9082008
"152","All Transitions","14690_31_39_40_43",0.0974352,"Eastern Great Plains Floodplain Systems",1655,9,0,0.8769168
"153","All Transitions","14710_41_50",0.2349752,"Central Interior and Appalachian Floodplain Systems",1579,17514,0,4115.3556528
"154","All Transitions","14710_41_50",0.2349752,"Central Interior and Appalachian Floodplain Systems",1606,19197,0,4510.8189144
"155","All Transitions","14710_51_62",0.2292252,"Central Interior and Appalachian Floodplain Systems",1635,74339,0.1,17040.3721428
"156","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",1607,434621,0.7,100308.7013918
"157","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",1636,223804,0.4,51653.0232232
"158","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",1580,180397,0.3,41634.8699326
"159","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1608,4275013,6.8,99394.9072526
"160","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1581,1712958,2.7,39826.6160916
"161","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1637,1388897,2.2,32292.1330294
"162","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1656,50985,0.1,1185.411447
"163","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",1609,36647,0.1,333.9787698
"164","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",1582,8453,0,77.0355702
"165","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",1638,21007,0,191.4451938
"166","All Transitions","14810_41_50_51_63",0.0051708,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1639,3593603,5.7,18581.8023924
"167","All Transitions","14810_41_50_51_63",0.0051708,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1583,1056194,1.7,5461.3679352
"168","All Transitions","14810_41_50_51_63",0.0051708,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1610,1094690,1.7,5660.423052
"169","All Transitions","14820_39_40",0.2276196,"Great Plains Prairie Pothole",1657,109,0,24.8105364
"170","All Transitions","14920_41_50_51_52_63",0.022358,"Great Lakes Coastal Marsh Systems",1584,56188,0.1,1256.251304
"171","All Transitions","14920_41_50_51_52_63",0.022358,"Great Lakes Coastal Marsh Systems",1640,38967,0.1,871.224186
"172","All Transitions","14920_41_50_51_52_63",0.022358,"Great Lakes Coastal Marsh Systems",1611,477,0,10.664766
"173","All Transitions","14930_41_42_44_50",0.4118612,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1612,31866,0.1,13124.3689992
"174","All Transitions","14930_41_42_44_50",0.4118612,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1585,2660,0,1095.550792
"175","All Transitions","14940_41_50_51",0.39658,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1613,785906,1.3,311674.60148
"176","All Transitions","14940_41_50_51",0.39658,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1586,209832,0.3,83215.17456
"177","All Transitions","14940_41_50_51",0.39658,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1641,1106,0,438.61748
"178","All Transitions","14950_31_39_40",0.3991594,"Western Great Plains Depressional Wetland Systems",1658,422,0,168.4452668
"179","All Transitions","15170_42_49_50",0.0874838,"Paleozoic Plateau Bluff and Talus",1587,8763,0,766.6205394
"180","Alternative Succession","13020_40",0.000173,"Laurentian-Acadian Northern Hardwoods Forest",1647,29,0,0.005017
"181","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,5221136,8.3,2004.916224
"182","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,4826790,7.7,1853.48736
"183","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,3367389,5.4,1293.077376
"184","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,3200465,5.1,1228.97856
"185","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,2241937,3.6,860.903808
"186","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1589,380744,0.6,146.205696
"187","Alternative Succession","13100_41_62",0.0340798,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,561561,0.9,19137.8865678
"188","Alternative Succession","13100_51",0.0041266,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,1291,0,5.3274406
"189","Alternative Succession","13110_50",0.002565,"North-Central Interior Dry Oak Forest and Woodland",1564,12654,0,32.45751
"190","Alternative Succession","13110_51",0.0037196,"North-Central Interior Dry Oak Forest and Woodland",1618,9911,0,36.8649556
"191","Alternative Succession","13620_41_50",0.0022808,"Laurentian-Acadian Northern Pine(-Oak) Forest",2723,243,0,0.5542344
"192","Alternative Succession","13620_41_50",0.0022808,"Laurentian-Acadian Northern Pine(-Oak) Forest",2725,650,0,1.48252
"193","Alternative Succession","13620_51_63_64_65_66",0.0008822,"Laurentian-Acadian Northern Pine(-Oak) Forest",1622,2474894,3.9,2183.3514868
