"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"48",1601,239779,14071,41,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258824,0,53326,0.1
"49",1609,164784,14790,41,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,36647,0.1
"50",1612,143284,14930,41,"14930_41_42_44_50","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,31866,0.1
"51",1619,162400,13130,51,"13130_47_50_51","North-Central Interior Beech-Maple Forest","Hardwood",1004,-9999,836,456,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,36117,0.1
"52",1621,275142,13442,51,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","Conifer",112,-9999,-9999,112,100,-9999,-9999,"IV-B",135,200,114,0.529412,0.784314,0.447059,61190,0.1
"53",1633,404994,14440,51,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",-9999,581,312,203,-9999,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765,90068,0.1
"54",1635,334267,14710,51,"14710_51_62","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,429,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,74339,0.1
"55",1640,175216,14920,51,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,38967,0.1
"56",1656,229254,14770,40,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,50985,0.1
"57",-1111,45823,-1111,-1111,"-1111","Fill-Not Mapped","Fill-Not Mapped",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",111,111,111,0.435294,0.435294,0.435294,10191,0
"58",31,59739,31,0,"0","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902,13286,0
"59",1564,56899,13110,50,"13110_50","North-Central Interior Dry Oak Forest and Woodland","Hardwood",104,98,19,14,14,14,72,"I-B",179,207,143,0.701961,0.811765,0.560784,12654,0
"60",1571,106090,13950,50,"13950_50","North-Central Oak Barrens","Hardwood",53,143,6,5,9,4,87,"I-A",255,235,176,1,0.921569,0.690196,23594,0
"61",1572,113112,14071,50,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258824,0,25156,0
"62",1574,67175,14090,50,"14090_50_64","Great Lakes Alvar","Conifer",439,3247,-9999,387,88,12,-9999,"V-A",227,235,117,0.890196,0.921569,0.458824,14939,0
"63",1575,84602,14120,50,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,18815,0
"64",1576,44328,14210,50,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,9858,0
"65",1577,56408,14440,50,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",-9999,581,312,203,-9999,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765,12545,0
"66",1579,78754,14710,50,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,432,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,17514,0
"67",1582,38009,14790,50,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,8453,0
"68",1585,11962,14930,50,"14930_41_42_44_50","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,2660,0
"69",1587,39404,15170,50,"15170_42_49_50","Paleozoic Plateau Bluff and Talus","Hardwood-Conifer",15,126,102,12,79,9,12,"II-B",106,117,0,0.415686,0.458824,0,8763,0
"70",1592,122098,13310,41,"13310_39_40_41","Eastern Great Plains Tallgrass Aspen Parkland","Hardwood",16,-9999,8,6,35,-9999,65,"I-B",220,240,0,0.862745,0.941176,0,27154,0
"71",1603,28944,14120,41,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,6437,0
"72",1604,35168,14200,41,"14200_41","Northern Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",184,132,29,0.721569,0.517647,0.113725,7821,0
"73",1606,86321,14710,41,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,432,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,19197,0
"74",1611,2147,14920,41,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,477,0
"75",1617,5803,13100,51,"13100_51","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",161,160,11,9,6,6,88,"I-B",176,163,222,0.690196,0.639216,0.870588,1291,0
"76",1618,44565,13110,51,"13110_51","North-Central Interior Dry Oak Forest and Woodland","Hardwood",137,111,11,9,7,8,85,"I-B",179,207,143,0.701961,0.811765,0.560784,9911,0
"77",1630,870,14110,51,"14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,-9999,-9999,24,100,-9999,-9999,"II-C",235,255,0,0.921569,1,0,193,0
"78",1631,24566,14120,51,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,5463,0
"79",1634,58662,14660,51,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,-9999,468,13,87,-9999,"V-A",181,0,0,0.709804,0,0,13046,0
"80",1638,94460,14790,51,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,21007,0
"81",1641,4975,14940,51,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,-9999,-9999,18,100,-9999,-9999,"II-C",0,168,107,0,0.658824,0.419608,1106,0
"82",1646,25649,13010,40,"13010_40","Boreal Aspen-Birch Forest","Conifer",82,-9999,-9999,82,100,-9999,-9999,"IV-A",255,245,56,1,0.960784,0.219608,5704,0
"83",1647,132,13020,40,"13020_40","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2109,-9999,-9999,2109,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,29,0
"84",1648,708,13140,40,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,157,0
"85",1649,12290,13310,40,"13310_39_40_41","Eastern Great Plains Tallgrass Aspen Parkland","Hardwood",16,-9999,8,6,35,-9999,65,"I-B",220,240,0,0.862745,0.941176,0,2733,0
"86",1650,2036,13651,40,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,-9999,213,85,15,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,453,0
"87",1652,2036,13940,40,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,453,0
"88",1653,2732,14120,40,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,608,0
"89",1654,29832,14200,40,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,6634,0
"90",1655,39,14690,40,"14690_31_39_40_43","Eastern Great Plains Floodplain Systems","Riparian",517,77,176,48,9,63,28,"III-A",75,170,190,0.294118,0.666667,0.745098,9,0
"91",1657,490,14820,40,"14820_39_40","Great Plains Prairie Pothole","Grassland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",156,100,163,0.611765,0.392157,0.639216,109,0
"92",1658,1897,14950,40,"14950_31_39_40","Western Great Plains Depressional Wetland Systems","Riparian",20,-9999,-9999,20,100,-9999,-9999,"II-C",104,0,156,0.407843,0,0.611765,422,0
"93",2723,1093,13620,41,"13620_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",355,680,12,11,3,2,95,"I-B",255,191,191,1,0.74902,0.74902,243,0
"94",2725,2924,13620,50,"13620_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",355,680,12,11,3,2,95,"I-B",255,191,191,1,0.74902,0.74902,650,0
